snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,languages,BR,2,"Java","General purpose",165000,29.2,-18.2,-32.8
2026-07,languages,BR,3,"JavaScript","Web",74000,13.1,-18.2,-18.2
2026-07,languages,BR,4,"SQL","Data",33100,5.9,-18.1,-18.1
2026-07,languages,BR,5,"PHP","Web",22200,3.9,-33.3,-33.3
2026-07,languages,BR,6,"C++","Systems",18100,3.2,-18.2,-18.2
2026-07,languages,BR,7,"TypeScript","Web",14800,2.6,-33.1,-33.1
2026-07,languages,BR,8,"C#","General purpose",12100,2.1,-18.2,-33.1
2026-07,languages,BR,9,"Go","Systems",9900,1.8,-18.2,-33.1
2026-07,languages,BR,10,"Kotlin","JVM / mobile",9900,1.8,-18.2,-33.1
2026-07,languages,BR,11,"Rust","Systems",3600,0.6,236.1,317.2
2026-07,languages,BR,12,"R","Data / stats",390,0.1,-17.9,-17.9
2026-07,languages,BR,13,"Ruby","Web",210,0,182.4,128.6
2026-07,languages,BR,14,"Swift","Apple",40,0,-33.3,-50
2026-07,languages,MX,1,"Python","General purpose",110000,39.2,-17.7,22.3
2026-07,languages,MX,2,"Java","General purpose",74000,26.4,-18.2,-18.2
2026-07,languages,MX,3,"JavaScript","Web",33100,11.8,-18.1,0
2026-07,languages,MX,4,"C++","Systems",18100,6.4,-33.1,49.4
2026-07,languages,MX,5,"SQL","Data",18100,6.4,-18.2,-18.2
2026-07,languages,MX,6,"PHP","Web",9900,3.5,-18.2,0
2026-07,languages,MX,7,"C#","General purpose",5400,1.9,-18.2,0
2026-07,languages,MX,8,"Kotlin","JVM / mobile",5400,1.9,-18.5,0
2026-07,languages,MX,9,"TypeScript","Web",3600,1.3,-19.4,-19.4
2026-07,languages,MX,10,"Go","Systems",1900,0.7,0,-15.8
2026-07,languages,MX,11,"Rust","Systems",880,0.3,13.6,13.6
2026-07,languages,MX,12,"R","Data / stats",210,0.1,0,-17.6
2026-07,languages,MX,13,"Ruby","Web",50,0,40,75
2026-07,languages,MX,14,"Swift","Apple",20,0,-50,-50
2026-07,languages,ID,1,"Python","General purpose",110000,34.8,-17.7,-17.7
2026-07,languages,ID,2,"JavaScript","Web",60500,19.1,0,-18.2
2026-07,languages,ID,3,"Java","General purpose",49500,15.7,22.2,0
2026-07,languages,ID,4,"C++","Systems",33100,10.5,-55.3,-33.3
2026-07,languages,ID,5,"PHP","Web",22200,7,-18.5,-33.2
2026-07,languages,ID,6,"SQL","Data",14800,4.7,0,0
2026-07,languages,ID,7,"Go","Systems",9900,3.1,-18.5,-45.5
2026-07,languages,ID,8,"TypeScript","Web",4400,1.4,-18.2,-33.3
2026-07,languages,ID,9,"C#","General purpose",4400,1.4,-18.2,-18.2
2026-07,languages,ID,10,"Kotlin","JVM / mobile",4400,1.4,0,-33.3
2026-07,languages,ID,11,"Rust","Systems",1900,0.6,18.8,0
2026-07,languages,ID,12,"R","Data / stats",720,0.2,0,0
2026-07,languages,ID,13,"Ruby","Web",140,0,142.9,0
2026-07,languages,ID,14,"Swift","Apple",70,0,250,27.3
2026-07,languages,JP,1,"Python","General purpose",165000,36.5,0,-17.9
2026-07,languages,JP,2,"JavaScript","Web",90500,20,0,-32.7
2026-07,languages,JP,3,"Java","General purpose",60500,13.4,-18.2,-33.1
2026-07,languages,JP,4,"SQL","Data",40500,9,0,-18.2
2026-07,languages,JP,5,"TypeScript","Web",22200,4.9,0,-18.5
2026-07,languages,JP,6,"PHP","Web",22200,4.9,0,-32.9
2026-07,languages,JP,7,"C#","General purpose",18100,4,22.3,-18.5
2026-07,languages,JP,8,"C++","Systems",14800,3.3,0,-18.2
2026-07,languages,JP,9,"Kotlin","JVM / mobile",9900,2.2,0,-33.1
2026-07,languages,JP,10,"Go","Systems",6600,1.5,0,-18.2
2026-07,languages,JP,11,"Rust","Systems",1000,0.2,-32.3,-12
2026-07,languages,JP,12,"R","Data / stats",170,0,0,23.5
2026-07,languages,JP,13,"Ruby","Web",50,0,25,0
2026-07,languages,JP,14,"Swift","Apple",30,0,0,-25
2026-07,languages,KR,1,"Python","General purpose",60500,43.1,-18.2,-18.2
2026-07,languages,KR,2,"Java","General purpose",27100,19.3,0,-32.9
2026-07,languages,KR,3,"JavaScript","Web",14800,10.5,0,-33.1
2026-07,languages,KR,4,"SQL","Data",12100,8.6,0,-18.2
2026-07,languages,KR,5,"C++","Systems",6600,4.7,0,-33.3
2026-07,languages,KR,6,"TypeScript","Web",4400,3.1,-19.4,-46.3
2026-07,languages,KR,7,"C#","General purpose",4400,3.1,-19.4,-46.3
2026-07,languages,KR,8,"PHP","Web",4400,3.1,0,-33.3
2026-07,languages,KR,9,"Kotlin","JVM / mobile",2900,2.1,-20.8,-56.8
2026-07,languages,KR,10,"Go","Systems",2400,1.7,0,-44.8
2026-07,languages,KR,11,"Rust","Systems",590,0.4,49.2,83.3
2026-07,languages,KR,12,"R","Data / stats",210,0.1,0,-19
2026-07,languages,KR,13,"Ruby","Web",30,0,1600,466.7
2026-07,languages,KR,14,"Swift","Apple",10,0,0,0
2026-07,languages,IT,1,"Python","General purpose",60500,40.1,-18.2,0
2026-07,languages,IT,2,"Java","General purpose",27100,17.9,0,-32.9
2026-07,languages,IT,3,"C++","Systems",22200,14.7,-75.7,0
2026-07,languages,IT,4,"JavaScript","Web",14800,9.8,-18.2,-18.2
2026-07,languages,IT,5,"SQL","Data",8100,5.4,-33.3,-18.5
2026-07,languages,IT,6,"PHP","Web",6600,4.4,-33.3,-33.3
2026-07,languages,IT,7,"TypeScript","Web",2900,1.9,0,-33.3
2026-07,languages,IT,8,"C#","General purpose",2400,1.6,-15.8,-33.3
2026-07,languages,IT,9,"Kotlin","JVM / mobile",2400,1.6,52.6,20.8
2026-07,languages,IT,10,"Go","Systems",1900,1.3,0,-31.6
2026-07,languages,IT,11,"Rust","Systems",1600,1.1,-37.5,-23.1
2026-07,languages,IT,12,"R","Data / stats",480,0.3,-33.3,-33.3
2026-07,languages,IT,13,"Ruby","Web",50,0,75,0
2026-07,languages,IT,14,"Swift","Apple",30,0,100,0
2026-07,languages,ES,1,"Python","General purpose",60500,36.9,-18.2,0
2026-07,languages,ES,2,"Java","General purpose",49500,30.2,0,-18.2
2026-07,languages,ES,3,"JavaScript","Web",18100,11.1,-18.2,0
2026-07,languages,ES,4,"SQL","Data",9900,6,-33.3,-18.5
2026-07,languages,ES,5,"PHP","Web",6600,4,-33.3,-18.5
2026-07,languages,ES,6,"C++","Systems",5400,3.3,-34.1,-19.4
2026-07,languages,ES,7,"TypeScript","Web",3600,2.2,-19.4,-19.4
2026-07,languages,ES,8,"Kotlin","JVM / mobile",3600,2.2,0,0
2026-07,languages,ES,9,"C#","General purpose",2400,1.5,-33.3,-15.8
2026-07,languages,ES,10,"Go","Systems",2400,1.5,0,-33.3
2026-07,languages,ES,11,"Rust","Systems",1300,0.8,0,0
2026-07,languages,ES,12,"R","Data / stats",320,0.2,-19.2,-34.4
2026-07,languages,ES,13,"Ruby","Web",70,0,0,-44.4
2026-07,languages,ES,14,"Swift","Apple",50,0,-85.7,-60
2026-07,languages,NL,1,"Python","General purpose",33100,37.8,0,0
2026-07,languages,NL,2,"Java","General purpose",18100,20.7,-18.2,-33.3
2026-07,languages,NL,3,"JavaScript","Web",9900,11.3,0,-33.1
2026-07,languages,NL,4,"SQL","Data",6600,7.5,0,0
2026-07,languages,NL,5,"PHP","Web",4400,5,0,-18.2
2026-07,languages,NL,6,"TypeScript","Web",2900,3.3,0,-33.3
2026-07,languages,NL,7,"C++","Systems",2900,3.3,-20.8,-20.8
2026-07,languages,NL,8,"C#","General purpose",2400,2.7,0,-20.8
2026-07,languages,NL,9,"Go","Systems",2400,2.7,0,-20.8
2026-07,languages,NL,10,"Kotlin","JVM / mobile",2400,2.7,0,-20.8
2026-07,languages,NL,11,"Rust","Systems",1600,1.8,0,-18.7
2026-07,languages,NL,12,"R","Data / stats",720,0.8,0,0
2026-07,languages,NL,13,"Ruby","Web",70,0.1,40,-50
2026-07,languages,NL,14,"Swift","Apple",40,0,-25,-25
2026-07,languages,TR,1,"Python","General purpose",90500,41.6,0,0
2026-07,languages,TR,2,"Java","General purpose",74000,34,49.6,0
2026-07,languages,TR,3,"JavaScript","Web",14800,6.8,0,-33.1
2026-07,languages,TR,4,"SQL","Data",12100,5.6,49.5,49.5
2026-07,languages,TR,5,"C++","Systems",8100,3.7,-18.2,-18.2
2026-07,languages,TR,6,"PHP","Web",5400,2.5,22.2,-18.5
2026-07,languages,TR,7,"C#","General purpose",4400,2,0,-34.1
2026-07,languages,TR,8,"TypeScript","Web",2400,1.1,0,-44.8
2026-07,languages,TR,9,"Kotlin","JVM / mobile",2400,1.1,0,-34.5
2026-07,languages,TR,10,"Go","Systems",1900,0.9,0,-31.6
2026-07,languages,TR,11,"Rust","Systems",1300,0.6,30,0
2026-07,languages,TR,12,"R","Data / stats",390,0.2,23.1,0
2026-07,languages,TR,13,"Ruby","Web",40,0,250,133.3
