snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,crypto,BR,11,"Phantom","Wallet",2900,0.7,26.3,-33.3
2026-07,crypto,BR,12,"Crypto.com","Exchange",1300,0.3,-12,-32.3
2026-07,crypto,BR,13,"Exodus","Wallet",1000,0.2,0,-55
2026-07,crypto,BR,14,"Ledger","Wallet",590,0.1,0,-33.3
2026-07,crypto,BR,15,"Blockchain.com","Wallet",260,0.1,-17.6,-64.1
2026-07,crypto,BR,16,"Gemini","Exchange",170,0,40,-50
2026-07,crypto,MX,1,"Binance","Exchange",49500,38.7,0,-45.3
2026-07,crypto,MX,2,"Kraken","Exchange",40500,31.6,0,0
2026-07,crypto,MX,3,"Coinbase","Exchange",9900,7.7,-18.5,-45.5
2026-07,crypto,MX,4,"MetaMask","Wallet",6600,5.2,-34.1,-56.1
2026-07,crypto,MX,5,"Bybit","Exchange",6600,5.2,-18.2,-70.2
2026-07,crypto,MX,6,"MEXC","Exchange",4400,3.4,26.3,-33.3
2026-07,crypto,MX,7,"OKX","Exchange",2400,1.9,0,0
2026-07,crypto,MX,8,"Bitget","Exchange",2400,1.9,0,-44.8
2026-07,crypto,MX,9,"Trust Wallet","Wallet",1900,1.5,-18.7,-45.8
2026-07,crypto,MX,10,"KuCoin","Exchange",1300,1,0,-47.4
2026-07,crypto,MX,11,"Phantom","Wallet",1000,0.8,-28,-28
2026-07,crypto,MX,12,"Crypto.com","Exchange",480,0.4,-33.9,-18.7
2026-07,crypto,MX,13,"Exodus","Wallet",320,0.3,-18.7,-45.8
2026-07,crypto,MX,14,"Ledger","Wallet",260,0.2,-19.2,-34.4
2026-07,crypto,MX,15,"Gemini","Exchange",260,0.2,-21.4,57.1
2026-07,crypto,MX,16,"Blockchain.com","Wallet",170,0.1,-21.4,-47.6
2026-07,crypto,ID,1,"Binance","Exchange",165000,41.8,0,-55.3
