snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,seo,BR,9,"Screaming Frog","Crawler",1300,0.7,-23.1,-23.1
2026-07,seo,BR,10,"SE Ranking","Rank tracking",1300,0.7,-23.1,-23.1
2026-07,seo,BR,11,"Surfer SEO","Content SEO",720,0.4,-45.8,-55.7
2026-07,seo,BR,12,"SpyFu","Competitor research",590,0.3,-18.6,-45.5
2026-07,seo,BR,13,"Rank Math","WordPress plugin",590,0.3,-18.6,-18.6
2026-07,seo,BR,14,"Yoast","WordPress plugin",390,0.2,-18.7,-45.8
2026-07,seo,BR,15,"Mangools","Keyword research",210,0.1,0,-34.6
2026-07,seo,BR,16,"BrightEdge","Enterprise",70,0,-28.6,-44.4
2026-07,seo,MX,1,"Google Search Console","Free · Google",22200,50.6,0,49.7
2026-07,seo,MX,2,"Semrush","All-in-one",6600,15.1,-18.2,-45.5
2026-07,seo,MX,3,"AnswerThePublic","Keyword research",3600,8.2,-18.5,22.2
2026-07,seo,MX,4,"Similarweb","Traffic analytics",2900,6.6,-17.2,-33.3
2026-07,seo,MX,5,"Ubersuggest","Keyword research",2400,5.5,-20.8,-34.5
2026-07,seo,MX,6,"Ahrefs","All-in-one",1900,4.3,-15.8,-15.8
2026-07,seo,MX,7,"GTmetrix","Page speed",1300,3,-23.1,-37.5
2026-07,seo,MX,8,"Moz","All-in-one",720,1.6,0,-33
2026-07,seo,MX,9,"Screaming Frog","Crawler",590,1.3,0,-18.1
2026-07,seo,MX,10,"SE Ranking","Rank tracking",480,1.1,21.9,-18.7
2026-07,seo,MX,11,"Surfer SEO","Content SEO",320,0.7,-34.6,-56.4
2026-07,seo,MX,12,"SpyFu","Competitor research",260,0.6,0,-34.4
2026-07,seo,MX,13,"Rank Math","WordPress plugin",210,0.5,-33.3,-46.2
2026-07,seo,MX,14,"Mangools","Keyword research",170,0.4,21.4,-34.6
2026-07,seo,MX,15,"Yoast","WordPress plugin",140,0.3,-18.2,-35.7
2026-07,seo,MX,16,"BrightEdge","Enterprise",50,0.1,0,0
2026-07,seo,ID,1,"Google Search Console","Free · Google",74000,61,0,22.3
2026-07,seo,ID,2,"Semrush","All-in-one",12100,10,0,-18.2
2026-07,seo,ID,3,"Ahrefs","All-in-one",9900,8.2,0,-18.2
